User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,Age,Location,Theme,Description,Relevance,Type
03cf8f1e,7115763614,10,Forgotten Storm,Charles Rodriguez,1990.0,Penguin Books,51,"Da Silva, None",,,,
b3930f6a,5178061783,5,Endless Wind,Claire Moore,1951.0,Bloomsbury,44,"Marty, None",,,,
2118dfd0,9071118860,6,Lost Sun,Alice Lee,2011.0,Macmillan,15,"Charrierboeuf, None",,,,
a2f09487,1821029911,8,Sacred Mountain: Mystery of Path,Emma Taylor,2015.0,Vintage Books,49,"Sainte Auguste, None",,,,
bfe6220b,3925368948,9,The Great Legacy: Storm of Legacy,Thomas Rodriguez,2017.0,HarperCollins,43,"Pages, None",,,,
6f8910a8,4812530493,9,Hidden Storm: Wind of Dawn,Emma Martinez,2011.0,Vintage Books,80,"Dijoux, None",,,,
bc39588e,2890497741,9,Golden Path,Maria Moore,1956.0,Oxford Press,60,"Sainte Laurence, None",,,,
7554a862,8142826364,9,Lost Journey,Emily Jackson,2017.0,Crown Publishing,38,"Hamon-sur-Boulanger, None",,,,
a64fe6b7,0061120081,8,The Great Light (Real ISBN),Sophie Lee,2008.0,Bloomsbury,21,"Sainte Jérôme, None",,,,
75832de7,2281619310,10,Silver City,William Brown,1952.0,Penguin Books,23,"Carpentier-sur-Chauvet, None",,,,
7d98ae39,9627024167,5,Endless Star: Bridge of City,George Jones,1952.0,Scholastic,61,"Didier-sur-Peltier, None",,,,
fc4b478f,8337603120,9,Digital Journey: Wind of Legacy,John Martinez,2001.0,Vintage Books,56,"Delannoy, None",,,,
1378f132,9015018347,7,Digital Tower,George White,2009.0,Oxford Press,26,"Michaud-sur-Jacques, None",,,,
a6bfdd6c,6495412922,4,Forgotten Path: Mountain of Star,Robert Harris,1963.0,Vintage Books,73,"Techer, None",,,,
015676d0,4624625189,10,Hidden Tower: Dawn of Empire,Anna Anderson,1967.0,Simon & Schuster,53,"Vidal-sur-Mer, None",,,,
f12cee00,7147300163,6,Lost Mystery,Laura Smith,1987.0,Simon & Schuster,52,"Saint Matthieudan, None",,,,
34ed34a6,1658252720,9,Silent Star,David Garcia,2014.0,Vintage Books,26,"Moreno, None",,,,
dc62e3d3,1669277496,7,The Great Empire,Olivia Taylor,1965.0,Scholastic,31,"DelmasBourg, None",,,,
2f21a249,9000112700,6,Wild Ocean: Mystery of Ocean,John Thomas,1995.0,Bloomsbury,57,"Duhamelnec, None",,,,
dd2097ac,4115345794,5,Endless Kingdom,Emily Thomas,2008.0,Oxford Press,82,"Fouquet-sur-Rivière, None",,,,
a08b1179,8049319315,7,Silver Dream: Kingdom of Forest,Sarah Garcia,1970.0,Bloomsbury,79,"Saint Constance, None",,,,
ced92ffa,1021557482,6,Hidden Forest,Claire Brown,1991.0,Vintage Books,65,"Rocher-sur-Godard, None",,,,
5e5c13ac,1866213449,8,Broken Path,Michael Martinez,1983.0,Scholastic,64,"Cohen-les-Bains, None",,,,
