ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
0441172717;First Bridge (Real ISBN);Daniel Anderson;2021;Hachette;http://images.example.com/books/0441172717.jpg;http://images.example.com/books/0441172717_m.jpg;http://images.example.com/books/0441172717_l.jpg
0553293354;First Dusk (Real ISBN);George Anderson;1973;Random House;http://images.example.com/books/0553293354.jpg;http://images.example.com/books/0553293354_m.jpg;http://images.example.com/books/0553293354_l.jpg
0451524934;Lost Horizon (Real ISBN);Sophie Garcia;1951;Crown Publishing;http://images.example.com/books/0451524934.jpg;http://images.example.com/books/0451524934_m.jpg;http://images.example.com/books/0451524934_l.jpg
0061120081;The Great Light (Real ISBN);Sophie Lee;2008;Bloomsbury;http://images.example.com/books/0061120081.jpg;http://images.example.com/books/0061120081_m.jpg;http://images.example.com/books/0061120081_l.jpg
0345339703;Eternal Wind (Real ISBN);Daniel White;2004;Simon & Schuster;http://images.example.com/books/0345339703.jpg;http://images.example.com/books/0345339703_m.jpg;http://images.example.com/books/0345339703_l.jpg
0439064872;Dark Forest (Real ISBN);George Miller;1970;Vintage Books;http://images.example.com/books/0439064872.jpg;http://images.example.com/books/0439064872_m.jpg;http://images.example.com/books/0439064872_l.jpg
0142437204;First Sun (Real ISBN);Emily Moore;1958;Bloomsbury;http://images.example.com/books/0142437204.jpg;http://images.example.com/books/0142437204_m.jpg;http://images.example.com/books/0142437204_l.jpg
0141439513;Lost Bridge (Real ISBN);Daniel Miller;1993;Cambridge Press;http://images.example.com/books/0141439513.jpg;http://images.example.com/books/0141439513_m.jpg;http://images.example.com/books/0141439513_l.jpg
0743273565;Endless Mountain (Real ISBN);Claire Lee;1985;HarperCollins;http://images.example.com/books/0743273565.jpg;http://images.example.com/books/0743273565_m.jpg;http://images.example.com/books/0743273565_l.jpg
0618260307;Brave Ocean (Real ISBN);Sarah Garcia;2003;Bloomsbury;http://images.example.com/books/0618260307.jpg;http://images.example.com/books/0618260307_m.jpg;http://images.example.com/books/0618260307_l.jpg
0345339711;Silent Kingdom (Real ISBN);Alice Taylor;1983;Bloomsbury;http://images.example.com/books/0345339711.jpg;http://images.example.com/books/0345339711_m.jpg;http://images.example.com/books/0345339711_l.jpg
0345339738;Silent Fire (Real ISBN);Emma Jackson;2021;Oxford Press;http://images.example.com/books/0345339738.jpg;http://images.example.com/books/0345339738_m.jpg;http://images.example.com/books/0345339738_l.jpg
0307593671;Brave Tower (Real ISBN);Emma Thomas;2002;Cambridge Press;http://images.example.com/books/0307593671.jpg;http://images.example.com/books/0307593671_m.jpg;http://images.example.com/books/0307593671_l.jpg
0385504209;Golden Legacy (Real ISBN);Daniel Thomas;2014;Vintage Books;http://images.example.com/books/0385504209.jpg;http://images.example.com/books/0385504209_m.jpg;http://images.example.com/books/0385504209_l.jpg
125031318X;First Legacy (Real ISBN);James Taylor;1957;Cambridge Press;http://images.example.com/books/125031318X.jpg;http://images.example.com/books/125031318X_m.jpg;http://images.example.com/books/125031318X_l.jpg
1501110365;Sacred World (Real ISBN);Charles Davis;1984;Random House;http://images.example.com/books/1501110365.jpg;http://images.example.com/books/1501110365_m.jpg;http://images.example.com/books/1501110365_l.jpg
0385514239;The Great Chronicle (Real ISBN);David Martinez;1990;Crown Publishing;http://images.example.com/books/0385514239.jpg;http://images.example.com/books/0385514239_m.jpg;http://images.example.com/books/0385514239_l.jpg
1594130019;First Legacy (Real ISBN);Maria Taylor;1983;Penguin Books;http://images.example.com/books/1594130019.jpg;http://images.example.com/books/1594130019_m.jpg;http://images.example.com/books/1594130019_l.jpg
0439139597;Eternal Empire (Real ISBN);David Williams;1993;Cambridge Press;http://images.example.com/books/0439139597.jpg;http://images.example.com/books/0439139597_m.jpg;http://images.example.com/books/0439139597_l.jpg
0439136350;Dark Garden (Real ISBN);Michael Jones;1996;Random House;http://images.example.com/books/0439136350.jpg;http://images.example.com/books/0439136350_m.jpg;http://images.example.com/books/0439136350_l.jpg
1463214084;Silver Dream;Daniel Jackson;1991;Crown Publishing;http://images.example.com/books/1463214084.jpg;http://images.example.com/books/1463214084_m.jpg;http://images.example.com/books/1463214084_l.jpg
5633901562;First Moon;Emily Jones;1972;Oxford Press;http://images.example.com/books/5633901562.jpg;http://images.example.com/books/5633901562_m.jpg;http://images.example.com/books/5633901562_l.jpg
7888394043;Golden Dream;Sarah Martinez;1994;Vintage Books;http://images.example.com/books/7888394043.jpg;http://images.example.com/books/7888394043_m.jpg;http://images.example.com/books/7888394043_l.jpg
5530943885;Broken Light;William Miller;2011;Penguin Books;http://images.example.com/books/5530943885.jpg;http://images.example.com/books/5530943885_m.jpg;http://images.example.com/books/5530943885_l.jpg
1950572808;Secret Storm: Dream of City;Maria Rodriguez;2011;Hachette;http://images.example.com/books/1950572808.jpg;http://images.example.com/books/1950572808_m.jpg;http://images.example.com/books/1950572808_l.jpg
9265064642;Forgotten Light;John Harris;2011;Penguin Books;http://images.example.com/books/9265064642.jpg;http://images.example.com/books/9265064642_m.jpg;http://images.example.com/books/9265064642_l.jpg
1168165693;Broken Path: Mountain of Moon;David Lee;2005;Penguin Books;http://images.example.com/books/1168165693.jpg;http://images.example.com/books/1168165693_m.jpg;http://images.example.com/books/1168165693_l.jpg
1720739140;Lost River;David Smith;1950;Random House;http://images.example.com/books/1720739140.jpg;http://images.example.com/books/1720739140_m.jpg;http://images.example.com/books/1720739140_l.jpg
8761240291;Broken Dusk: Empire of Ocean;William Lee;1987;Cambridge Press;http://images.example.com/books/8761240291.jpg;http://images.example.com/books/8761240291_m.jpg;http://images.example.com/books/8761240291_l.jpg
6682492031;Last Kingdom;Emma Martin;2022;Crown Publishing;http://images.example.com/books/6682492031.jpg;http://images.example.com/books/6682492031_m.jpg;http://images.example.com/books/6682492031_l.jpg
1352134985;Eternal Song: Tale of Chronicle;Emily White;2016;Random House;http://images.example.com/books/1352134985.jpg;http://images.example.com/books/1352134985_m.jpg;http://images.example.com/books/1352134985_l.jpg
5237671876;Secret Legacy: Dream of Sun;Maria Smith;1960;Crown Publishing;http://images.example.com/books/5237671876.jpg;http://images.example.com/books/5237671876_m.jpg;http://images.example.com/books/5237671876_l.jpg
5873650801;Forgotten Mountain;Emma Martin;2009;Penguin Books;http://images.example.com/books/5873650801.jpg;http://images.example.com/books/5873650801_m.jpg;http://images.example.com/books/5873650801_l.jpg
4998733274;Hidden Chronicle;John Williams;1968;Random House;http://images.example.com/books/4998733274.jpg;http://images.example.com/books/4998733274_m.jpg;http://images.example.com/books/4998733274_l.jpg
5566593477;The Great Horizon: Moon of Journey;Emily Garcia;1974;HarperCollins;http://images.example.com/books/5566593477.jpg;http://images.example.com/books/5566593477_m.jpg;http://images.example.com/books/5566593477_l.jpg
7906653431;Lost Kingdom;John Brown;1982;Simon & Schuster;http://images.example.com/books/7906653431.jpg;http://images.example.com/books/7906653431_m.jpg;http://images.example.com/books/7906653431_l.jpg
4238392523;Brave Dream: Garden of Star;Sophie White;1971;Macmillan;http://images.example.com/books/4238392523.jpg;http://images.example.com/books/4238392523_m.jpg;http://images.example.com/books/4238392523_l.jpg
7146000442;Brave Chronicle;James Jackson;2013;Penguin Books;http://images.example.com/books/7146000442.jpg;http://images.example.com/books/7146000442_m.jpg;http://images.example.com/books/7146000442_l.jpg
9385622442;Silent Mountain: Moon of Light;Claire Garcia;1986;Cambridge Press;http://images.example.com/books/9385622442.jpg;http://images.example.com/books/9385622442_m.jpg;http://images.example.com/books/9385622442_l.jpg
4468199320;Silver Tower;James Harris;2012;Hachette;http://images.example.com/books/4468199320.jpg;http://images.example.com/books/4468199320_m.jpg;http://images.example.com/books/4468199320_l.jpg
9199566396;The Great Mountain;Laura Williams;1995;Cambridge Press;http://images.example.com/books/9199566396.jpg;http://images.example.com/books/9199566396_m.jpg;http://images.example.com/books/9199566396_l.jpg
9972990575;Lost Chronicle;Charles Davis;1982;Vintage Books;http://images.example.com/books/9972990575.jpg;http://images.example.com/books/9972990575_m.jpg;http://images.example.com/books/9972990575_l.jpg
9696625065;Eternal Dream;Michael Thompson;1974;Cambridge Press;http://images.example.com/books/9696625065.jpg;http://images.example.com/books/9696625065_m.jpg;http://images.example.com/books/9696625065_l.jpg
8011128449;First Dawn: Bridge of Garden;Maria Moore;1965;Crown Publishing;http://images.example.com/books/8011128449.jpg;http://images.example.com/books/8011128449_m.jpg;http://images.example.com/books/8011128449_l.jpg
6867661946;Endless Tale;George Lee;2001;Bloomsbury;http://images.example.com/books/6867661946.jpg;http://images.example.com/books/6867661946_m.jpg;http://images.example.com/books/6867661946_l.jpg
4118170295;Sacred Tale;Maria Taylor;1954;Oxford Press;http://images.example.com/books/4118170295.jpg;http://images.example.com/books/4118170295_m.jpg;http://images.example.com/books/4118170295_l.jpg
4665645475;Golden Bridge;Michael Davis;2001;HarperCollins;http://images.example.com/books/4665645475.jpg;http://images.example.com/books/4665645475_m.jpg;http://images.example.com/books/4665645475_l.jpg
1700094679;Digital Moon;George Jones;2011;Oxford Press;http://images.example.com/books/1700094679.jpg;http://images.example.com/books/1700094679_m.jpg;http://images.example.com/books/1700094679_l.jpg
8658548468;Broken Tower;James Jackson;1983;Macmillan;http://images.example.com/books/8658548468.jpg;http://images.example.com/books/8658548468_m.jpg;http://images.example.com/books/8658548468_l.jpg
8854034807;Golden Tower: Song of Dream;David Williams;1975;Random House;http://images.example.com/books/8854034807.jpg;http://images.example.com/books/8854034807_m.jpg;http://images.example.com/books/8854034807_l.jpg
1336987885;Silver Tale;Charles Moore;2011;Simon & Schuster;http://images.example.com/books/1336987885.jpg;http://images.example.com/books/1336987885_m.jpg;http://images.example.com/books/1336987885_l.jpg
8530377649;Eternal Tower;James Jones;1972;Bloomsbury;http://images.example.com/books/8530377649.jpg;http://images.example.com/books/8530377649_m.jpg;http://images.example.com/books/8530377649_l.jpg
5975723615;Hidden Ocean;Laura White;2007;Penguin Books;http://images.example.com/books/5975723615.jpg;http://images.example.com/books/5975723615_m.jpg;http://images.example.com/books/5975723615_l.jpg
2691248554;Golden Ocean: Star of Empire;Sarah Lee;1981;Scholastic;http://images.example.com/books/2691248554.jpg;http://images.example.com/books/2691248554_m.jpg;http://images.example.com/books/2691248554_l.jpg
3188255557;Broken Sun;James Smith;2010;Random House;http://images.example.com/books/3188255557.jpg;http://images.example.com/books/3188255557_m.jpg;http://images.example.com/books/3188255557_l.jpg
4033942184;Broken Mountain: Journey of Mystery;William Taylor;1978;Crown Publishing;http://images.example.com/books/4033942184.jpg;http://images.example.com/books/4033942184_m.jpg;http://images.example.com/books/4033942184_l.jpg
5328382381;Digital Sun: Moon of Dusk;Maria Martinez;1983;Random House;http://images.example.com/books/5328382381.jpg;http://images.example.com/books/5328382381_m.jpg;http://images.example.com/books/5328382381_l.jpg
2368152086;Silent Dusk: Storm of Shadow;Emily Brown;1959;Hachette;http://images.example.com/books/2368152086.jpg;http://images.example.com/books/2368152086_m.jpg;http://images.example.com/books/2368152086_l.jpg
1026403287;Dark Moon: Ocean of Sun;Charles Miller;1973;Oxford Press;http://images.example.com/books/1026403287.jpg;http://images.example.com/books/1026403287_m.jpg;http://images.example.com/books/1026403287_l.jpg
8763468134;Broken Moon: Empire of Dawn;Michael Rodriguez;1979;Penguin Books;http://images.example.com/books/8763468134.jpg;http://images.example.com/books/8763468134_m.jpg;http://images.example.com/books/8763468134_l.jpg
2474353763;Eternal Dawn;George Lee;1961;Vintage Books;http://images.example.com/books/2474353763.jpg;http://images.example.com/books/2474353763_m.jpg;http://images.example.com/books/2474353763_l.jpg
5172266428;First Tale: Bridge of World;Daniel Martin;0;Random House;http://images.example.com/books/5172266428.jpg;http://images.example.com/books/5172266428_m.jpg;http://images.example.com/books/5172266428_l.jpg
5399804278;Secret Chronicle;Emma Miller;2002;Bloomsbury;http://images.example.com/books/5399804278.jpg;http://images.example.com/books/5399804278_m.jpg;http://images.example.com/books/5399804278_l.jpg
3472129669;Hidden Mountain: Shadow of Shadow;Alice Jackson;1958;Bloomsbury;http://images.example.com/books/3472129669.jpg;http://images.example.com/books/3472129669_m.jpg;http://images.example.com/books/3472129669_l.jpg
4735070010;Last Dream;Maria Martinez;1958;HarperCollins;http://images.example.com/books/4735070010.jpg;http://images.example.com/books/4735070010_m.jpg;http://images.example.com/books/4735070010_l.jpg
7094425869;Lost Forest;Anna White;1957;Penguin Books;http://images.example.com/books/7094425869.jpg;http://images.example.com/books/7094425869_m.jpg;http://images.example.com/books/7094425869_l.jpg
6598917973;Ancient Dream: Ocean of Ocean;Anna White;2010;Crown Publishing;http://images.example.com/books/6598917973.jpg;http://images.example.com/books/6598917973_m.jpg;http://images.example.com/books/6598917973_l.jpg
3508443416;Forgotten Dusk;Michael Thomas;1962;HarperCollins;http://images.example.com/books/3508443416.jpg;http://images.example.com/books/3508443416_m.jpg;http://images.example.com/books/3508443416_l.jpg
4069743339;Secret Tale: Legacy of Dream;James Williams;2011;Vintage Books;http://images.example.com/books/4069743339.jpg;http://images.example.com/books/4069743339_m.jpg;http://images.example.com/books/4069743339_l.jpg
6363150700;The Great City;Sophie Thomas;1981;Hachette;http://images.example.com/books/6363150700.jpg;http://images.example.com/books/6363150700_m.jpg;http://images.example.com/books/6363150700_l.jpg
2864049435;Sacred Tale;Michael White;1969;Vintage Books;http://images.example.com/books/2864049435.jpg;http://images.example.com/books/2864049435_m.jpg;http://images.example.com/books/2864049435_l.jpg
1992044978;Ancient Fire;James Williams;1965;Oxford Press;http://images.example.com/books/1992044978.jpg;http://images.example.com/books/1992044978_m.jpg;http://images.example.com/books/1992044978_l.jpg
2951907129;Eternal Journey;Maria Brown;1957;Bloomsbury;http://images.example.com/books/2951907129.jpg;http://images.example.com/books/2951907129_m.jpg;http://images.example.com/books/2951907129_l.jpg
4593002734;Wild Ocean: Kingdom of Moon;John Smith;1978;Random House;http://images.example.com/books/4593002734.jpg;http://images.example.com/books/4593002734_m.jpg;http://images.example.com/books/4593002734_l.jpg
4115450845;Modern World: Wind of Dawn;Sarah Martinez;2005;HarperCollins;http://images.example.com/books/4115450845.jpg;http://images.example.com/books/4115450845_m.jpg;http://images.example.com/books/4115450845_l.jpg
3215682504;The Great Kingdom: Wind of Moon;William Lee;1982;HarperCollins;http://images.example.com/books/3215682504.jpg;http://images.example.com/books/3215682504_m.jpg;http://images.example.com/books/3215682504_l.jpg
2581487122;The Great Tower;Anna Lee;2018;Hachette;http://images.example.com/books/2581487122.jpg;http://images.example.com/books/2581487122_m.jpg;http://images.example.com/books/2581487122_l.jpg
8007915544;Hidden Tower: Mystery of World;Charles Moore;2022;Penguin Books;http://images.example.com/books/8007915544.jpg;http://images.example.com/books/8007915544_m.jpg;http://images.example.com/books/8007915544_l.jpg
9763924983;The Great Moon: River of Tale;Maria Miller;1975;Bloomsbury;http://images.example.com/books/9763924983.jpg;http://images.example.com/books/9763924983_m.jpg;http://images.example.com/books/9763924983_l.jpg
1872208975;Dark Chronicle;James Taylor;1954;Scholastic;http://images.example.com/books/1872208975.jpg;http://images.example.com/books/1872208975_m.jpg;http://images.example.com/books/1872208975_l.jpg
7592038960;Eternal Wind;David Moore;2015;Scholastic;http://images.example.com/books/7592038960.jpg;http://images.example.com/books/7592038960_m.jpg;http://images.example.com/books/7592038960_l.jpg
7577787905;Lost City: Sun of Path;Daniel White;2012;HarperCollins;http://images.example.com/books/7577787905.jpg;http://images.example.com/books/7577787905_m.jpg;http://images.example.com/books/7577787905_l.jpg
5220040198;Last Garden: Tale of Path;Laura White;1954;Simon & Schuster;http://images.example.com/books/5220040198.jpg;http://images.example.com/books/5220040198_m.jpg;http://images.example.com/books/5220040198_l.jpg
